,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
180,97.31390949715495,70.36612357473314,180.0,khatanga,3.15,-27.53,43.0,36.0
183,-154.87264057895672,-0.163593681784306,183.0,faanui,10.2,82.01,100.0,32.0
184,33.51560811733498,40.76767825427606,184.0,tosya,2.82,31.02,86.0,36.0
188,59.33650937947519,63.10360165052123,188.0,vuktyl,2.71,-5.61,84.0,36.0
189,61.44596094408817,2.22835470290066,189.0,victoria,6.93,79.84,94.0,75.0
192,133.02570095885,-9.011449409415007,192.0,maningrida,5.61,83.94,92.0,0.0
193,130.17616827233093,28.302028460329495,193.0,naze,1.25,77.0,94.0,40.0
194,-64.74996519632802,19.43467501438424,194.0,road town,12.75,79.59,69.0,40.0
195,126.66494324742462,53.27230900782911,195.0,tygda,2.93,1.55,68.0,0.0
198,66.82277953775346,1.4640051453928464,198.0,thinadhoo,13.44,84.53,99.0,88.0
200,23.21612223536144,-28.690690577558563,200.0,danielskuil,4.72,61.31,50.0,76.0
201,-94.10886292667593,-42.779670140309285,201.0,castro,10.09,54.6,100.0,92.0
202,58.117290137699825,61.306927733294145,202.0,krasnovishersk,3.15,-11.01,55.0,0.0
207,6.128337769290567,-29.15753422502047,207.0,luderitz,2.24,64.4,82.0,0.0
209,-161.85392867311506,51.95943621622342,209.0,bethel,10.29,8.6,78.0,90.0
216,-140.63276858135652,78.6459372075665,216.0,aklavik,3.36,-3.64,64.0,90.0
219,155.6702681634501,26.599816658604254,219.0,hasaki,8.05,38.1,80.0,75.0
224,-103.10190841535699,52.37257031263857,224.0,kelvington,8.08,17.12,85.0,8.0
225,172.89561074125783,50.15759598817087,225.0,nikolskoye,4.47,28.4,86.0,90.0
228,38.0837864468146,-38.848117994880894,228.0,margate,11.41,66.2,68.0,20.0
230,106.33738728665628,54.01265708195237,230.0,kachug,2.04,11.18,70.0,92.0
234,114.19002507519241,20.649469443763564,234.0,zhuhai,8.95,30.2,39.0,0.0
241,117.2081518119013,38.29817320762615,241.0,cangzhou,8.52,32.51,85.0,0.0
243,-84.9423371575442,-5.360181576154389,243.0,talara,9.98,79.76,62.0,0.0
246,155.29747284936008,71.8554033321777,246.0,srednekolymsk,4.72,-18.17,53.0,32.0
248,-14.131099110088314,41.364873594437256,248.0,peniche,20.8,54.36,82.0,40.0
250,-48.57037048656943,-32.46342522997777,250.0,cidreira,8.41,75.62,83.0,0.0
252,-153.71730677766587,59.92924432302388,252.0,homer,6.29,32.92,91.0,90.0
254,-127.63501188499346,-13.349196414610773,254.0,atuona,16.24,80.57,100.0,44.0
255,16.14747395014541,31.525836283852314,255.0,surt,9.98,58.16,100.0,0.0
256,-114.73231837628397,7.397419084377333,256.0,san patricio,4.27,83.63,66.0,20.0
257,87.68208591577502,23.357700237728764,257.0,guskhara,2.82,58.88,68.0,0.0
258,37.58833406468324,-14.0878426112495,258.0,cuamba,3.38,69.32,97.0,80.0
264,8.860990779218952,21.945338926161384,264.0,gat,13.22,77.19,40.0,0.0
265,77.25803860471723,-44.83072199070283,265.0,mahebourg,9.17,78.8,94.0,75.0
266,-57.55310095822125,12.113032706580398,266.0,oistins,25.28,78.8,78.0,75.0
270,-46.01500758912971,-31.726000074415204,270.0,laguna,8.05,86.0,17.0,20.0
272,-148.55513929217207,60.09113388247732,272.0,palmer,9.17,71.6,64.0,20.0
273,-98.70670649274626,45.57584646978776,273.0,aberdeen,16.11,32.0,91.0,90.0
276,72.7682178290483,54.56498588957683,276.0,azovo,2.24,-5.81,76.0,75.0
279,9.63202385139573,51.676562035761975,279.0,uslar,4.7,50.0,93.0,44.0
282,22.681010226911866,-13.868791514586434,282.0,zambezi,2.93,65.22,94.0,12.0
283,26.61338063737955,80.67796241696726,283.0,honningsvag,7.63,17.7,100.0,56.0
284,-64.9914489281074,-1.6081515718527584,284.0,maraa,7.4,80.25,84.0,8.0
286,-162.05100846936804,13.808143227953096,286.0,makakilo city,17.22,76.19,56.0,75.0
288,-45.27626642208244,61.082787669882634,288.0,qaqortoq,16.11,28.4,16.0,40.0
291,149.1301315420357,40.21469690906281,291.0,nemuro,8.63,25.44,100.0,8.0
293,136.16552231023337,-29.742033062578116,293.0,port augusta,13.87,71.6,88.0,0.0
294,-121.0238875364569,24.816078996422007,294.0,san quintin,6.4,68.0,72.0,20.0
295,-67.84325151951566,-43.376563814603855,295.0,comodoro rivadavia,12.75,73.4,35.0,40.0
299,160.86719981435408,10.558251024403688,299.0,butaritari,13.22,82.64,100.0,68.0
301,81.11289997344596,80.96923470006979,301.0,dikson,14.79,-7.95,96.0,44.0
302,133.82613812781676,50.28592374547355,302.0,chegdomyn,2.71,-1.43,65.0,0.0
303,-55.24632358139277,9.145710131324662,303.0,nieuw amsterdam,8.05,81.39,74.0,20.0
306,36.13757124215459,89.81250471784642,306.0,vardo,10.29,46.13,28.0,1.0
307,174.12263562258295,-50.08658175276135,307.0,dunedin,3.83,63.69,79.0,8.0
308,-42.61285169880918,-11.68811619247775,308.0,ibipeba,5.73,70.62,88.0,44.0
310,-66.65022176432865,28.360319186792623,310.0,hamilton,12.75,64.4,55.0,75.0
311,2.1648792552984446,-8.07237573806394,311.0,gamba,1.14,-6.2,56.0,0.0
313,-99.6780622206921,-28.364943179692133,313.0,lebu,0.69,39.39,48.0,0.0
314,164.65821221133223,-18.594322335070387,314.0,poum,1.81,28.82,86.0,0.0
318,-112.49076317139601,33.91921190899507,318.0,sun city west,8.05,70.63,55.0,20.0
320,23.39008485210161,16.818667452107675,320.0,kutum,10.98,63.15,21.0,0.0
323,53.80858593344186,22.35246368507201,323.0,abu dhabi,6.93,75.2,27.0,0.0
324,56.52467889554626,28.956084942813476,324.0,baft,5.28,34.31,58.0,0.0
325,-34.828054527520635,-14.58701501107197,325.0,conde,10.2,79.58,89.0,0.0
326,-49.56091625206167,62.433520800670436,326.0,paamiut,13.78,23.55,100.0,0.0
327,24.154920914833156,-30.16781948860738,327.0,de aar,12.55,68.06,34.0,92.0
328,31.955804441673678,-30.71889108752017,328.0,durban,4.7,52.41,100.0,90.0
332,146.46511188302765,54.24275839372572,332.0,ekhabi,8.97,1.37,81.0,0.0
333,63.96988017585838,24.95427786369578,333.0,pasni,6.4,70.13,100.0,0.0
340,-12.839588043166088,75.11753305328929,340.0,husavik,3.27,24.09,95.0,92.0
341,66.95475152381897,-14.27924592496717,341.0,grand gaube,9.17,78.8,94.0,75.0
343,-58.18476910545425,-28.84971845428631,343.0,mercedes,4.72,79.44,51.0,32.0
344,-55.41106042107404,40.86597954774945,344.0,saint-pierre,11.41,55.6,87.0,92.0
345,-175.2652335030945,66.26019339101379,345.0,provideniya,6.4,3.57,100.0,32.0
347,-39.77664709614618,23.235882683338176,347.0,ponta do sol,3.38,67.43,99.0,44.0
348,168.6205563389367,-40.64779865342991,348.0,hokitika,3.04,61.94,100.0,88.0
349,158.1516304852617,-39.169411684883194,349.0,ulladulla,11.41,66.2,68.0,0.0
351,125.0621917610195,-10.534850920365116,351.0,soe,4.7,33.8,89.0,88.0
352,-71.6936390730947,39.55243860540784,352.0,mastic beach,10.29,38.7,47.0,90.0
353,43.62600959188339,59.529087865635375,353.0,imeni babushkina,9.31,-0.48,66.0,32.0
356,128.3374951401862,-15.306272738530538,356.0,kununurra,4.38,77.0,94.0,0.0
363,52.240017651008884,36.99041284891588,363.0,fereydun kenar,4.7,42.8,93.0,0.0
364,127.67606875975144,22.083503150527704,364.0,hirara,4.7,57.2,76.0,75.0
368,159.32890438805515,82.74074861800997,368.0,cherskiy,4.94,-9.93,70.0,24.0
369,93.06343498731167,14.120101377942632,369.0,port blair,14.0,83.49,100.0,20.0
370,-28.8092460972382,-21.427835019597694,370.0,caravelas,20.27,81.87,99.0,24.0
372,-143.04708844665964,70.18193301113888,372.0,fairbanks,0.92,22.98,73.0,1.0
375,22.986416064767553,48.9560045198219,375.0,turka,6.73,33.09,97.0,20.0
376,-39.60602984348833,51.36726526241998,376.0,nanortalik,2.26,21.84,100.0,0.0
379,51.7338326677594,47.81679591211659,379.0,atyrau,13.42,24.8,73.0,90.0
384,-4.571609391614942,28.499517158943647,384.0,adrar,6.93,75.2,8.0,0.0
387,43.30389327605636,47.578529607010694,387.0,kotelnikovo,5.17,27.6,96.0,76.0
390,48.07284811617319,57.32196050209879,390.0,yaransk,3.38,-10.65,73.0,0.0
